column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Small Narrowbodies,2326550,2566989,2710156,2679390,2854374,3312501,3452306,2762638,2401097,2557097,2623971,3023429,3139163,3721438,1989693,2188491.9099999997,2536421,3544397,3296734.51,3200530.9799999995,2409721.7
Pilots (000),583404,627762,669258,689224,728240,838740,999164,897116,634961,556401,434932,438619,435275,435110,374621,329333.58999999997,306357.47,467634,548758.7800000001,605357.3200000001,589163.49
Salaries and Wages (000),432613,469059,515538,508323,533546,605325,649540,563728,370899,344352,274114,277744,275166,274264,228164,208150.13,211297.10000000003,314467,369108.2300000001,407587.82,413252.36999999994
Pilot Training (000),28235,22388,23838,22037,25315,25163,29921,22831,11309,9293,10253,8183,9754,7933,8636,4046.4700000000003,3819.94,3089,9020.15,9872.869999999999,14025.710000000001
Benefits and Payroll Taxes (000),77752,87128,77679,105045,108242,143949,247814,257181,213327,166083,116295,114430,109587,113649,107956,90692.86,66375.59999999999,131097,132366.29,131194.67,131049.34999999999
Per Diem/ Personnel (000),44804,49187,52203,53819,61137,64303,71889,53376,39426,36673,34270,38262,40768,39264,29865,26444.13,24864.829999999994,18981,38264.11,56701.96,30836.06
Purchased Goods (000),627471,792582,772448,662520,663255,962185,935681,646796,770532,1032877,1301212,1549561,1563076,2300272,874564,1081740.1,1345400.3900000004,1962774,1684131.5499999998,1521577.42,979258.9799999999
Fuel/Oil (000),559698,684007,670673,567226,559818,837938,855035,574475,698838,956759,1228693,1472334,1492542,2224542,827557,1034619.8300000001,1297652.4100000004,1893299,1621367.28,1462161.16,913457.07
Insurance (000),7483,5449,4200,2560,2445,2851,7264,16507,9446,6164,4921,4151,3499,1645,1960,2404.67,1900.17,7188,1104.17,1065.8899999999999,1343.49
Other (inc. Tax) (000),60290,103126,97575,92734,100992,121396,73382,55814,62248,69954,67598,73076,67035,74085,45047,44715.6,45847.81,62287,61660.100000000006,58350.369999999995,64458.42
Maintenance (000),615007,672665,807724,854160,960789,947817,949448,704516,594208,582333,577188,683677,775084,633217,458990,531730.51,635567.33,730452,694022.55,712590.7999999999,493031.56999999995
Labor (000),139373,140549,145996,149664,164053,166942,148830,156926,96316,78252,63433,64374,63269,62143,70813,93844.93000000001,34593.44,85220,77248.21,62786.67,69418.76000000001
Materials (000),95149,114794,143919,171557,197205,175974,154068,81388,66075,73795,64500,70244,94078,73609,33709,26389.11,47804.79,75970,57775.229999999996,60894.219999999994,36492.799999999996
Third Party (000),34261,33546,75406,110889,153840,156635,196397,122092,157145,211043,262564,334085,394851,321375,238210,303298.80999999994,423003.31,382975,403775.14999999997,432828.4099999999,233299.49
Total Direct (000),268767,288889,365321,428600,512748,491585,489601,359038,317272,356938,387983,468531,552080,454077,342732,423532.83999999997,505401.46,544161,537814.74,556509.28,339023.62
Burden (000),346240,383776,442403,425560,448041,456232,459847,345478,276936,225395,189205,215146,223004,179140,116258,108197.68,130165.87000000001,186291,156207.81,156081.58000000002,154008.01
Aircraft Ownership (000),496317,469981,449816,459125,497285,555950,570138,507536,399283,377093,295936,347380,363329,349393,280624,220743.31000000003,132141.85,223849,195377.28000000003,193790.09,185079.37999999998
Rentals (000),367411,329030,327893,316320,313635,315140,315176,330539,238917,209656,136478,182889,185287,184585,138365,117561.27,115488.2,204351,176645.81000000003,177693.82,170545.38999999998
Depreciation and Amortization (000),128906,140951,121923,142805,183650,240810,254962,176997,160366,167437,159458,164491,178042,164808,142259,103182.04000000001,16653.65,19498,18731.47,16096.269999999999,14533.99
Other (000),4351,3999,10910,14361,4805,7809,-2125,6674,2113,8393,14703,4192,2399,3446,894,24944.399999999703,116953.95999999993,159688,174444.34999999963,167215.34999999937,163188.2800000004
Indicies,,,,,,,,,,,,,,,,,,,,,
